Name,Chamber,Party,Avg. Net Worth
Steven Palazzo (R-Miss),H,R,"$1,123,512"
Adam Schiff (D-Calif),H,D,"$1,119,013"
Matt Cartwright (D-Pa),H,D,"$1,105,518"
Rick Nolan (D-Minn),H,D,"$1,105,504"
Jeff Miller (R-Fla),H,R,"$1,091,003"
Sean Patrick Maloney (D-NY),H,D,"$1,048,005"
Marcia L. Fudge (D-Ohio),H,D,"$1,031,506"
Marlin Stutzman (R-Ind),H,R,"$1,031,008"
Patrick J. Tiberi (R-Ohio),H,R,"$1,014,515"
Steve Stivers (R-Ohio),H,R,"$1,003,019"
Mark R. Meadows (R-NC),H,R,"$1,000,510"
Paul Gosar (R-Ariz),H,R,"$982,501"
David Cicilline (D-RI),H,D,"$966,001"
Maxine Waters (D-Calif),H,D,"$964,007"
Mike Honda (D-Calif),H,D,"$964,005"
Kelly Ayotte (R-NH),S,R,"$963,007"
Mo Brooks (R-Ala),H,R,"$962,523"
Kay Granger (R-Texas),H,R,"$958,005"
Frederica Wilson (D-Fla),H,D,"$954,005"
Martha Roby (R-Ala),H,R,"$948,511"
Sheila Jackson Lee (D-Texas),H,D,"$943,504"
Mike Enzi (R-Wyo),S,R,"$938,028"
Melvin L. Watt (D-NC),H,D,"$929,020"
Elijah E. Cummings (D-Md),H,D,"$915,004"
Joe Pitts (R-Pa),H,R,"$896,004"
Scott Perry (R-Pa),H,R,"$891,009"
Bill Huizenga (R-Mich),H,R,"$878,508"
Don Young (R-Alaska),H,R,"$872,504"
Mike Crapo (R-Idaho),S,R,"$872,009"
Paul Cook (R-Calif),H,R,"$870,508"
Henry Cuellar (D-Texas),H,D,"$855,006"
Peter Roskam (R-Ill),H,R,"$854,525"
Patty Murray (D-Wash),S,D,"$850,008"
Randy Weber (R-Texas),H,R,"$833,002"
Jerry Moran (R-Kan),S,R,"$826,009"
Rob Wittman (R-Va),H,R,"$824,513"
Robert E. Andrews (D-NJ),H,D,"$814,004"
Bruce Braley (D-Iowa),H,D,"$811,035"
Tammy Baldwin (D-Wis),S,D,"$798,502"
Jason Chaffetz (R-Utah),H,R,"$788,506"
Mark Pocan (D-Wis),H,D,"$766,002"
Eddie Bernice Johnson (D-Texas),H,D,"$766,001"
Ted Deutch (D-Fla),H,D,"$764,511"
Lisa Murkowski (R-Alaska),S,R,"$762,520"
David Scott (D-Ga),H,D,"$758,001"
Joe Donnelly (D-Ind),S,D,"$749,004"
Todd Rokita (R-Ind),H,R,"$741,522"
John M. Shimkus (R-Ill),H,R,"$733,504"
Tom Graves (R-Ga),H,R,"$729,007"
Tim Murphy (R-Pa),H,R,"$712,524"
Charles E. Schumer (D-NY),S,D,"$702,008"
John Cornyn (R-Texas),S,R,"$698,511"
Bill Posey (R-Fla),H,R,"$698,006"
Lindsey Graham (R-SC),S,R,"$697,003"
Charles W. Boustany Jr (R-La),H,R,"$695,268"
Edwin G. Perlmutter (D-Colo),H,D,"$685,513"
Emanuel Cleaver (D-Mo),H,D,"$684,005"
Steve Chabot (R-Ohio),H,R,"$676,514"
Stephen F. Lynch (D-Mass),H,D,"$673,008"
Pete Gallego (D-Texas),H,D,"$666,007"
Roger Wicker (R-Miss),S,R,"$660,508"
Kerry Bentivolio (R-Mich),H,R,"$654,016"
George Miller (D-Calif),H,D,"$651,504"
Bennie G. Thompson (D-Miss),H,D,"$647,014"
Sherrod Brown (D-Ohio),S,D,"$639,003"
Spencer Bachus (R-Ala),H,R,"$631,507"
Alan Nunnelee (R-Miss),H,R,"$620,005"
David Loebsack (D-Iowa),H,D,"$610,009"
Jack Reed (D-RI),S,D,"$608,523"
Steve Southerland (R-Fla),H,R,"$584,001"
Cheri Bustos (D-Ill),H,D,"$578,512"
Tammy Duckworth (D-Ill),H,D,"$570,526"
Scott Desjarlais (R-Tenn),H,R,"$565,505"
Erik Paulsen (R-Minn),H,R,"$564,515"
Marco Rubio (R-Fla),S,R,"$559,509"
Marsha Blackburn (R-Tenn),H,R,"$551,512"
John Carney (D-Del),H,D,"$550,514"
Bob Casey (D-Pa),S,D,"$544,508"
Aaron Schock (R-Ill),H,R,"$535,087"
Frank A. LoBiondo (R-NJ),H,R,"$525,012"
Gene Green (D-Texas),H,D,"$522,503"
Max Baucus (D-Mont),S,D,"$519,500"
Patrick McHenry (R-NC),H,R,"$510,006"
Mike Michaud (D-Maine),H,D,"$507,510"
Tom Reed (R-NY),H,R,"$497,504"
Frank Wolf (R-Va),H,R,"$491,454"
Robert Menendez (D-NJ),S,D,"$490,502"
Janice Hahn (D-Calif),H,D,"$480,502"
Cory Booker (D-NJ),S,D,"$476,009"
Mike Doyle (D-Pa),H,D,"$475,000"
Daniel Webster (R-Fla),H,R,"$473,004"
Joe Courtney (D-Conn),H,D,"$468,515"
James E. Clyburn (D-SC),H,D,"$468,511"
Luke Messer (R-Ind),H,R,"$468,017"
Ileana Ros-Lehtinen (R-Fla),H,R,"$466,502"
Jim McDermott (D-Wash),H,D,"$461,026"
Bernie Sanders (I-Vt),S,I,"$460,506"
Bill Johnson (R-Ohio),H,R,"$459,522"
Charlie Dent (R-Pa),H,R,"$458,525"
Jared Huffman (D-Calif),H,D,"$457,010"
Barbara A. Mikulski (D-Md),S,D,"$454,508"
Kevin Brady (R-Texas),H,R,"$453,513"
Mac Thornberry (R-Texas),H,R,"$447,503"
Ted Poe (R-Texas),H,R,"$446,006"
Gus Bilirakis (R-Fla),H,R,"$445,518"
Michael G. Fitzpatrick (R-Pa),H,R,"$436,518"
Michelle Lujan Grisham (D-NM),H,D,"$435,001"
Lynn Jenkins (R-Kan),H,R,"$430,507"
Joe Wilson (R-SC),H,R,"$428,000"
Kevin Cramer (R-ND),H,R,"$419,511"
Chris Stewart (R-Utah),H,R,"$415,501"
Tulsi Gabbard (D-Hawaii),H,D,"$411,006"
Ron Kind (D-Wis),H,D,"$404,004"
Rand Paul (R-Ky),S,R,"$398,003"
Joe Garcia (D-Fla),H,D,"$397,504"
Ed Royce (R-Calif),H,R,"$390,509"
John Kline (R-Minn),H,R,"$390,002"
Barbara Lee (D-Calif),H,D,"$385,007"
John Thune (R-SD),S,R,"$384,509"
Jerry McNerney (D-Calif),H,D,"$384,002"
Mark Kirk (R-Ill),S,R,"$383,001"
Dave Reichert (R-Wash),H,R,"$380,003"
John Carter (R-Texas),H,R,"$375,000"
Bobby L. Rush (D-Ill),H,D,"$375,000"
Marcy Kaptur (D-Ohio),H,D,"$360,508"
John J. Duncan Jr (R-Tenn),H,R,"$358,009"
Adam Smith (D-Wash),H,D,"$354,505"
Steven A. King (R-Iowa),H,R,"$353,007"
Mike Rogers (R-Mich),H,R,"$351,007"
Karen Bass (D-Calif),H,D,"$348,003"
Andy Barr (R-Ky),H,R,"$346,012"
Lucille Roybal-Allard (D-Calif),H,D,"$343,005"
Pete King (R-NY),H,R,"$325,001"
Mike Coffman (R-Colo),H,R,"$324,003"
Brian Schatz (D-Hawaii),S,D,"$319,508"
Rick Larsen (D-Wash),H,D,"$319,008"
Walter B. Jones Jr (R-NC),H,R,"$313,007"
Michael Grimm (R-NY),H,R,"$309,999"
Joe Heck (R-Nev),H,R,"$305,004"
Tim Huelskamp (R-Kan),H,R,"$304,005"
Paul Broun (R-Ga),H,R,"$303,507"
Doug Collins (R-Ga),H,R,"$301,001"
Tony Cardenas (D-Calif),H,D,"$298,507"
Mike Pompeo (R-Kan),H,R,"$296,011"
Joseph Crowley (D-NY),H,D,"$292,513"
Kirsten Gillibrand (D-NY),S,D,"$291,002"
Lynn A. Westmoreland (R-Ga),H,R,"$291,001"
Tom Cotton (R-Ark),H,R,"$282,501"
Scott Garrett (R-NJ),H,R,"$273,005"
Jackie Walorski (R-Ind),H,R,"$268,006"
Raul Ruiz (D-Calif),H,D,"$263,006"
Patrick Meehan (R-Pa),H,R,"$257,511"
Matt Salmon (R-Ariz),H,R,"$257,502"
Hakeem Jeffries (D-NY),H,D,"$256,506"
Grace Napolitano (D-Calif),H,D,"$256,502"
Danny K. Davis (D-Ill),H,D,"$253,007"
Chaka Fattah (D-Pa),H,D,"$250,001"
Jeff Fortenberry (R-Neb),H,R,"$249,502"
Jim Jordan (R-Ohio),H,R,"$248,004"
Deb Fischer (R-Neb),S,R,"$248,001"
Rodney Davis (R-Ill),H,R,"$245,010"
Saxby Chambliss (R-Ga),S,R,"$243,504"
Adrian Smith (R-Neb),H,R,"$236,506"
Jan Schakowsky (D-Ill),H,D,"$236,012"
James Lankford (R-Okla),H,R,"$235,009"
Linda Sanchez (D-Calif),H,D,"$233,009"
Morgan Griffith (R-Va),H,R,"$232,500"
Marc Veasey (D-Texas),H,D,"$229,009"
John Sarbanes (D-Md),H,D,"$219,004"
Glenn Thompson (R-Pa),H,R,"$217,500"
"Donald M. Payne, Jr (D-NJ)",H,D,"$216,002"
Rob Woodall (R-Ga),H,R,"$215,003"
Tim Walberg (R-Mich),H,R,"$211,009"
Ben R. Lujan (D-NM),H,D,"$205,502"
Trey Gowdy (R-SC),H,R,"$200,000"
Raul M. Grijalva (D-Ariz),H,D,"$199,506"
Terri A. Sewell (D-Ala),H,D,"$191,507"
Adam Kinzinger (R-Ill),H,R,"$188,503"
Kevin McCarthy (R-Calif),H,R,"$187,004"
Gloria McLeod (D-Calif),H,D,"$183,001"
Devin Nunes (R-Calif),H,R,"$183,001"
John B. Larson (D-Conn),H,D,"$181,521"
Albio Sires (D-NJ),H,D,"$180,502"
Dan Kildee (D-Mich),H,D,"$180,004"
Chris Gibson (R-NY),H,R,"$175,000"
Martin Heinrich (D-NM),S,D,"$171,007"
Richard Hudson (R-NC),H,R,"$170,503"
Lee Terry (R-Neb),H,R,"$168,507"
Richard E. Neal (D-Mass),H,D,"$166,505"
Mark Amodei (R-Nev),H,R,"$166,002"
Mark A Takano (D-Calif),H,D,"$158,501"
Jim Gerlach (R-Pa),H,R,"$154,003"
John Culberson (R-Texas),H,R,"$150,501"
Dana Rohrabacher (R-Calif),H,R,"$150,500"
Joaquin Castro (D-Texas),H,D,"$150,500"
Steven Horsford (D-Nev),H,D,"$144,507"
Tom Marino (R-Pa),H,R,"$141,446"
Robin Kelly (D-Ill),H,D,"$140,992"
Michael R. Turner (R-Ohio),H,R,"$139,503"
Derek Kilmer (D-Wash),H,D,"$138,637"
Cory Gardner (R-Colo),H,R,"$132,007"
Steve Womack (R-Ark),H,R,"$129,503"
Patrick Leahy (D-Vt),S,D,"$129,503"
Robert Hurt (R-Va),H,R,"$123,003"
William L. Clay Jr (D-Mo),H,D,"$115,003"
Chris Van Hollen (D-Md),H,D,"$114,003"
Betty McCollum (D-Minn),H,D,"$112,505"
Buck Mckeon (R-Calif),H,R,"$111,502"
Mike Lee (R-Utah),S,R,"$111,002"
Mike McIntyre (D-NC),H,D,"$106,503"
Yvette D. Clarke (D-NY),H,D,"$105,003"
Lois Capps (D-Calif),H,D,"$98,006"
Timothy J. Walz (D-Minn),H,D,"$96,503"
Douglas L. Lamborn (R-Colo),H,R,"$88,504"
Jeff Flake (R-Ariz),S,R,"$83,001"
Christopher S. Murphy (D-Conn),S,D,"$82,502"
Kristi Noem (R-SD),H,R,"$81,004"
Joe Barton (R-Texas),H,R,"$78,501"
John Lewis (D-Ga),H,D,"$72,004"
Gregg Harper (R-Miss),H,R,"$70,501"
Todd Young (R-Ind),H,R,"$66,501"
Chris Smith (R-NJ),H,R,"$64,273"
Sanford Bishop (D-Ga),H,D,"$56,503"
Eliot L. Engel (D-NY),H,D,"$56,502"
Sam Johnson (R-Texas),H,R,"$48,501"
Eric Swalwell (D-Calif),H,D,"$40,501"
Rob Bishop (R-Utah),H,R,"$40,501"
Steny H. Hoyer (D-Md),H,D,"$33,501"
Randy Hultgren (R-Ill),H,R,"$32,500"
Debbie Stabenow (D-Mich),S,D,"$32,500"
Jose E. Serrano (D-NY),H,D,"$32,500"
Brian M. Higgins (D-NY),H,D,"$32,004"
Donna Edwards (D-Md),H,D,"$30,635"
Cedric Richmond (D-La),H,D,"$27,001"
Debbie Wasserman Schultz (D-Fla),H,D,"$21,005"
Tim Ryan (D-Ohio),H,D,"$16,501"
Carol Shea-Porter (D-NH),H,D,"$16,001"
Mark Pryor (D-Ark),S,D,"$8,500"
Jaime Herrera Beutler (R-Wash),H,R,"$8,000"
Hank Johnson (D-Ga),H,D,"$8,000"
Steve Stockman (R-Texas),H,R,"$8,000"
Jim Moran (D-Va),H,D,"$8,000"
Andre Carson (D-Ind),H,D,"$7,502"
Keith Ellison (D-Minn),H,D,"$6,003"
Corrine Brown (D-Fla),H,D,"$3,501"
Paul Tonko (D-NY),H,D,$500
Duncan D. Hunter (R-Calif),H,R,$0
Gwen Moore (D-Wis),H,D,$0
Gregory W. Meeks (D-NY),H,D,$0
Dan Maffei (D-NY),H,D,"-$7,998"
John Conyers Jr (D-Mich),H,D,"-$12,500"
Steve Scalise (R-La),H,R,"-$12,998"
Jerrold Nadler (D-NY),H,D,"-$16,499"
James Bridenstine (R-Okla),H,R,"-$22,148"
Mario Diaz-Balart (R-Fla),H,R,"-$24,500"
Tom McClintock (R-Calif),H,R,"-$30,498"
Mike Quigley (D-Ill),H,D,"-$32,500"
Kyrsten Sinema (D-Ariz),H,D,"-$32,500"
Tim Griffin (R-Ark),H,R,"-$32,999"
Ron DeSantis (R-Fla),H,R,"-$36,499"
Steve Israel (D-NY),H,D,"-$55,000"
Raul Labrador (R-Idaho),H,R,"-$56,998"
Kevin Yoder (R-Kan),H,R,"-$59,498"
Sean P. Duffy (R-Wis),H,R,"-$99,999"
Renee Ellmers (R-NC),H,R,"-$101,498"
Bobby Scott (D-Va),H,D,"-$129,973"
Louis B. Gohmert Jr (R-Texas),H,R,"-$162,501"
Rick Crawford (R-Ark),H,R,"-$175,001"
Steve Fincher (R-Tenn),H,R,"-$472,502"
Nydia M. Velazquez (D-NY),H,D,"-$510,000"
Ruben Hinojosa (D-Texas),H,D,"-$2,303,473"
Alcee L. Hastings (D-Fla),H,D,"-$4,732,002"
David Valadao (R-Calif),H,R,"-$12,167,002"